gender,age,resident,Marriage,Education,Employment,Income,Heathstatus,Chronic disease,whether had COVID-19,cognitiverisk,personalFear,misInformation,trust central Government,trust local Government,social fear,panic Buying,social support,trust health experts,trust health Authorities,trust medical Resource,trust health worker,Pandemic fatigue,cognitive dissonance
0,38,1,2,4,1,2,4,1,2,3,5,3,4,4,2,1,4,4,4,3.5,5,0,2
0,33,1,1,4,2,3,4,1,2,3,5,2,4,4,2.75,0,3,4,4,3.75,4,2,1
1,51,1,2,2,2,3,3,3,2,3,3,2,1,1,4,0,1,1,1,1,3,8.2,0
1,51,1,2,2,2,3,3,3,2,1,1,1,1,1,4.5,0,1,1,1,1,1,0,0
1,68,1,2,2,2,3,5,1,2,3,4,2,4,4,1,0,3,3,3,3.75,4,1.4,2.1
0,55,1,2,2,2,1,4,1,2,3,3,2,3,3,1.5,0,3,3,3,3.5,4,1.7,2.7
0,56,1,2,2,2,3,5,1,2,3,3,2,4,4,1.5,0,3,3,3,3.75,4,1.5,1.3
0,56,1,2,2,5,3,3,1,2,3,1,1,4,3,1.75,0,3,3,3,3,4,1.5,1.8
0,48,1,2,1,1,4,2,2,2,4,5,2,2,2,4,0,5,1,1,2.75,3,7.3,8.8
1,50,1,2,2,1,4,4,2,2,2,2,1,5,2,3.75,0,4,2,2,2.75,3,6.9,7
0,68,0,2,1,3,2,3,2,2,5,5,2,5,5,2.5,0,5,4,5,3.25,5,10,1.1
0,50,0,2,3,1,4,4,2,2,3,2,3,4,5,2.25,0,4,3,4,3.25,4,7.9,2
1,62,0,2,1,5,2,3,3,2,4,5,2,2,2,3.25,1,5,2,2,2.5,2,10,10
0,26,1,1,5,4,1,2,2,2,4,5,2,3,2,2.75,1,4,2,1,2.5,4,9,7
0,41,1,2,5,1,5,4,1,3,2,4,2,4,3,1.5,0,5,4,3,3.5,4,8,8
0,26,1,1,4,1,3,3,1,2,2,1,3,5,5,2.5,0,4,4,3,4,5,0,0
0,25,1,1,5,4,4,4,1,1,2,3,2,4,4,3.75,1,3,1,1,1.5,4,10,0
1,24,1,1,4,3,3,3,1,2,3,4,2,1,2,4.25,0,3,1,1,2.25,3,8,2
0,22,1,1,4,4,3,4,1,1,1,3,2,4,3,3,0,5,3,3,3.25,4,9,5
1,25,1,1,5,1,4,5,2,2,2,5,2,5,4,1.5,1,5,4,4,4,4,0,0
1,24,1,1,5,4,5,4,1,2,2,4,1,4,4,1.5,0,1,5,5,3,2,10,10
0,28,1,1,5,1,3,4,1,2,3,4,2,3,3,2.25,1,4,3,1,2.5,5,6,4
1,25,1,1,5,4,3,3,1,2,3,4,2,3,3,3.5,0,3,2,3,3.5,4,8,8
0,21,1,1,4,4,4,4,1,2,4,3,2,4,3,2.75,1,3,3,3,3.5,3,9,6
0,26,1,1,5,1,3,4,1,2,3,3,3,4,4,3.5,1,4,4,4,4,5,6,8
0,46,1,2,5,1,4,4,1,2,3,3,2,4,4,2.25,0,3,3,4,3,4,6,0
0,21,1,1,4,4,1,4,1,2,3,2,2,3,3,3,0,4,3,3,2.75,3,7,0
1,23,1,1,4,1,3,3,2,2,3,3,2,2,1,2.75,0,4,1,1,1.25,4,2,0
1,25,1,1,5,4,2,3,1,2,3,3,2,2,2,2.75,0,3,3,2,1.75,3,10,4
0,56,1,2,4,5,3,4,2,2,3,4,2,2,3,3.25,1,3,2,2,2.75,4,5,5
1,27,1,1,4,1,3,3,1,2,4,4,2,2,2,3.75,0,3,3,1,2,4,4,4
1,23,0,1,4,1,3,4,1,2,3,4,2,5,5,2.75,0,1,3,4,3.5,4,0,0
1,41,1,2,4,1,3,4,1,2,3,4,1,5,4,2.75,1,5,5,5,1,5,5,2
1,26,1,1,4,1,2,3,1,2,4,4,2,2,2,3,1,4,2,2,2.5,4,2,7
0,28,1,1,5,4,2,4,1,2,3,3,2,1,1,2.5,1,5,1,1,2.5,4,10,0
1,42,1,2,4,1,3,4,1,2,4,4,2,4,3,3,0,3,3,3,3,3,2,2
0,40,1,2,3,1,4,4,1,2,3,3,2,4,3,3.75,0,4,4,3,3,4,4,2
1,23,1,1,5,4,4,4,1,2,3,2,2,1,1,3,0,4,2,2,2.5,4,10,8
0,41,0,2,4,1,2,3,1,2,3,4,2,5,4,2.5,1,4,3,3,3,3,0,2
0,24,1,1,5,4,5,4,1,2,3,4,2,2,3,2.5,1,5,3,2,3.5,4,10,10
1,41,1,2,4,1,5,5,1,2,2,3,2,3,3,3,0,4,3,3,3,4,4,3
0,22,1,1,5,4,1,3,1,2,3,3,2,2,2,3.75,1,3,1,1,1.75,4,10,0
0,22,1,1,4,1,4,3,1,2,3,3,2,3,3,3,0,3,3,3,3,3,5,0
0,25,1,1,5,4,3,3,1,2,2,3,2,4,4,2.5,0,3,2,2,3,4,8,2
0,25,0,1,5,4,2,3,1,2,3,3,2,3,3,3,1,3,1,3,3,3,4,8
0,49,1,2,2,2,1,3,2,1,1,4,2,3,3,2,0,4,3,3,3,3,0,0
0,41,1,2,4,2,2,3,1,2,3,5,3,3,3,3.25,1,4,2,2,3,4,1,1
0,24,1,1,5,4,4,3,1,2,4,3,2,4,4,2,0,3,3,3,3,4,6,2
0,25,1,1,5,4,4,3,1,2,3,4,2,3,4,2.75,1,4,2,4,2.75,4,5,5
1,47,0,2,4,1,4,3,2,2,2,2,2,2,2,1.75,1,3,2,1,2.75,4,0,0
0,26,1,1,5,1,2,2,1,2,3,5,2,2,2,3.5,1,4,1,1,1,3,10,8
0,42,1,2,5,1,2,5,1,2,3,3,2,3,3,2.75,0,4,1,1,3.25,4,10,0
